,Name,Original Price,Discounted Price,Ratings,Star Ratings,Discount %
0,Nykaa So Creme! Creamy Matte Lipstick,299,239,47784,4,20
1,Maybelline New York Color Sensational Ultimattes Lipstick,549,357,1659,1,34
2,Kay Beauty Matte Drama Long Stay Lipstick,999,999,2625,1,0
3,Faces Canada Weightless Matte Finish Lipstick,299,254,28478,4,15
4,PAT McGRATH LABS Mattetrance,3800,3800,5,1,0
5,Swiss Beauty HD Matte Lipstick,299,224,4444,1,25
6,Maybelline New York Color Sensational Creamy Matte Lipstick,299,209,81862,4,30
7,Lakme Forever Matte Liquid Lip Color,295,251,40503,4,14
8,M.A.C Lipstick / Mini,1100,1100,19564,3,0
9,Faces Canada Ultime Pro Hd Intense Matte Lips + Primer,799,679,18731,3,15
10,SUGAR Cosmetics Matte Attack Transferproof Lipstick,699,629,6065,2,10
11,Love Earth Multipot Lip and Cheek Tint,599,299,3040,1,50
12,Nykaa Ultra Matte Mini Lipstick,239,239,11111,3,0
13,Maybelline New York Super Stay Crayon Lipstick,699,454,12210,3,35
14,Lakme Absolute Matte Ultimate Lip Color with Argan Oil,800,400,10687,2,50
15,Lakme 9 To 5 Primer + Matte Lipstick,500,425,7227,2,15
16,Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color,675,574,33555,4,14
17,Kay Beauty Matteinee Matte Lip Crayon Lipstick,799,599,13057,3,25
18,SUGAR Matte As Hell Crayon Lipstick With Free Sharpener,799,719,9509,2,10
19,Just Herbs Ayurvedic Matte Lipstick Micro-Mini Trial Kit,575,403,7966,2,29
20,Nykaa So Creme! Creamy Matte Lipstick,299,239,47784,4,20
21,Maybelline New York Color Sensational Ultimattes Lipstick,549,357,1659,1,34
22,Kay Beauty Matte Drama Long Stay Lipstick,999,999,2625,1,0
23,Faces Canada Weightless Matte Finish Lipstick,299,254,28478,4,15
24,PAT McGRATH LABS Mattetrance,3800,3800,5,1,0
25,Swiss Beauty HD Matte Lipstick,299,224,4444,1,25
26,Maybelline New York Color Sensational Creamy Matte Lipstick,299,209,81862,4,30
27,Lakme Forever Matte Liquid Lip Color,295,251,40503,4,14
28,M.A.C Lipstick / Mini,1100,1100,19564,3,0
29,Faces Canada Ultime Pro Hd Intense Matte Lips + Primer,799,679,18731,3,15
30,SUGAR Cosmetics Matte Attack Transferproof Lipstick,699,629,6065,2,10
31,Love Earth Multipot Lip and Cheek Tint,599,299,3040,1,50
32,Nykaa Ultra Matte Mini Lipstick,239,239,11111,3,0
33,Maybelline New York Super Stay Crayon Lipstick,699,454,12210,3,35
34,Lakme Absolute Matte Ultimate Lip Color with Argan Oil,800,400,10687,2,50
35,Lakme 9 To 5 Primer + Matte Lipstick,500,425,7227,2,15
36,Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color,675,574,33555,4,14
37,Kay Beauty Matteinee Matte Lip Crayon Lipstick,799,599,13057,3,25
38,SUGAR Matte As Hell Crayon Lipstick With Free Sharpener,799,719,9509,2,10
39,Just Herbs Ayurvedic Matte Lipstick Micro-Mini Trial Kit,575,403,7966,2,29
40,Nykaa So Creme! Creamy Matte Lipstick,299,239,47784,4,20
41,Maybelline New York Color Sensational Ultimattes Lipstick,549,357,1659,1,34
42,Kay Beauty Matte Drama Long Stay Lipstick,999,999,2625,1,0
43,Faces Canada Weightless Matte Finish Lipstick,299,254,28478,4,15
44,PAT McGRATH LABS Mattetrance,3800,3800,5,1,0
45,Swiss Beauty HD Matte Lipstick,299,224,4444,1,25
46,Maybelline New York Color Sensational Creamy Matte Lipstick,299,209,81862,4,30
47,Lakme Forever Matte Liquid Lip Color,295,251,40503,4,14
48,M.A.C Lipstick / Mini,1100,1100,19564,3,0
49,Faces Canada Ultime Pro Hd Intense Matte Lips + Primer,799,679,18731,3,15
50,SUGAR Cosmetics Matte Attack Transferproof Lipstick,699,629,6065,2,10
51,Love Earth Multipot Lip and Cheek Tint,599,299,3040,1,50
52,Nykaa Ultra Matte Mini Lipstick,239,239,11111,3,0
53,Maybelline New York Super Stay Crayon Lipstick,699,454,12210,3,35
54,Lakme Absolute Matte Ultimate Lip Color with Argan Oil,800,400,10687,2,50
55,Lakme 9 To 5 Primer + Matte Lipstick,500,425,7227,2,15
56,Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color,675,574,33555,4,14
57,Kay Beauty Matteinee Matte Lip Crayon Lipstick,799,599,13057,3,25
58,SUGAR Matte As Hell Crayon Lipstick With Free Sharpener,799,719,9509,2,10
59,Just Herbs Ayurvedic Matte Lipstick Micro-Mini Trial Kit,575,403,7966,2,29
60,Nykaa So Creme! Creamy Matte Lipstick,299,239,47784,4,20
61,Maybelline New York Color Sensational Ultimattes Lipstick,549,357,1659,1,34
62,Kay Beauty Matte Drama Long Stay Lipstick,999,999,2625,1,0
63,Faces Canada Weightless Matte Finish Lipstick,299,254,28478,4,15
64,PAT McGRATH LABS Mattetrance,3800,3800,5,1,0
65,Swiss Beauty HD Matte Lipstick,299,224,4444,1,25
66,Maybelline New York Color Sensational Creamy Matte Lipstick,299,209,81862,4,30
67,Lakme Forever Matte Liquid Lip Color,295,251,40503,4,14
68,M.A.C Lipstick / Mini,1100,1100,19564,3,0
69,Faces Canada Ultime Pro Hd Intense Matte Lips + Primer,799,679,18731,3,15
70,SUGAR Cosmetics Matte Attack Transferproof Lipstick,699,629,6065,2,10
71,Love Earth Multipot Lip and Cheek Tint,599,299,3040,1,50
72,Nykaa Ultra Matte Mini Lipstick,239,239,11111,3,0
73,Maybelline New York Super Stay Crayon Lipstick,699,454,12210,3,35
74,Lakme Absolute Matte Ultimate Lip Color with Argan Oil,800,400,10687,2,50
75,Lakme 9 To 5 Primer + Matte Lipstick,500,425,7227,2,15
76,Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color,675,574,33555,4,14
77,Kay Beauty Matteinee Matte Lip Crayon Lipstick,799,599,13057,3,25
78,SUGAR Matte As Hell Crayon Lipstick With Free Sharpener,799,719,9509,2,10
79,Just Herbs Ayurvedic Matte Lipstick Micro-Mini Trial Kit,575,403,7966,2,29
80,Nykaa So Creme! Creamy Matte Lipstick,299,239,47784,4,20
81,Maybelline New York Color Sensational Ultimattes Lipstick,549,357,1659,1,34
82,Kay Beauty Matte Drama Long Stay Lipstick,999,999,2625,1,0
83,Faces Canada Weightless Matte Finish Lipstick,299,254,28478,4,15
84,PAT McGRATH LABS Mattetrance,3800,3800,5,1,0
85,Swiss Beauty HD Matte Lipstick,299,224,4444,1,25
86,Maybelline New York Color Sensational Creamy Matte Lipstick,299,209,81862,4,30
87,Lakme Forever Matte Liquid Lip Color,295,251,40503,4,14
88,M.A.C Lipstick / Mini,1100,1100,19564,3,0
89,Faces Canada Ultime Pro Hd Intense Matte Lips + Primer,799,679,18731,3,15
90,SUGAR Cosmetics Matte Attack Transferproof Lipstick,699,629,6065,2,10
91,Love Earth Multipot Lip and Cheek Tint,599,299,3040,1,50
92,Nykaa Ultra Matte Mini Lipstick,239,239,11111,3,0
93,Maybelline New York Super Stay Crayon Lipstick,699,454,12210,3,35
94,Lakme Absolute Matte Ultimate Lip Color with Argan Oil,800,400,10687,2,50
95,Lakme 9 To 5 Primer + Matte Lipstick,500,425,7227,2,15
96,Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color,675,574,33555,4,14
97,Kay Beauty Matteinee Matte Lip Crayon Lipstick,799,599,13057,3,25
98,SUGAR Matte As Hell Crayon Lipstick With Free Sharpener,799,719,9509,2,10
99,Just Herbs Ayurvedic Matte Lipstick Micro-Mini Trial Kit,575,403,7966,2,29
100,Nykaa So Creme! Creamy Matte Lipstick,299,239,47784,4,20
101,Maybelline New York Color Sensational Ultimattes Lipstick,549,357,1659,1,34
102,Kay Beauty Matte Drama Long Stay Lipstick,999,999,2625,1,0
103,Faces Canada Weightless Matte Finish Lipstick,299,254,28478,4,15
104,PAT McGRATH LABS Mattetrance,3800,3800,5,1,0
105,Swiss Beauty HD Matte Lipstick,299,224,4444,1,25
106,Maybelline New York Color Sensational Creamy Matte Lipstick,299,209,81862,4,30
107,Lakme Forever Matte Liquid Lip Color,295,251,40503,4,14
108,M.A.C Lipstick / Mini,1100,1100,19564,3,0
109,Faces Canada Ultime Pro Hd Intense Matte Lips + Primer,799,679,18731,3,15
110,SUGAR Cosmetics Matte Attack Transferproof Lipstick,699,629,6065,2,10
111,Love Earth Multipot Lip and Cheek Tint,599,299,3040,1,50
112,Nykaa Ultra Matte Mini Lipstick,239,239,11111,3,0
113,Maybelline New York Super Stay Crayon Lipstick,699,454,12210,3,35
114,Lakme Absolute Matte Ultimate Lip Color with Argan Oil,800,400,10687,2,50
115,Lakme 9 To 5 Primer + Matte Lipstick,500,425,7227,2,15
116,Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color,675,574,33555,4,14
117,Kay Beauty Matteinee Matte Lip Crayon Lipstick,799,599,13057,3,25
118,SUGAR Matte As Hell Crayon Lipstick With Free Sharpener,799,719,9509,2,10
119,Just Herbs Ayurvedic Matte Lipstick Micro-Mini Trial Kit,575,403,7966,2,29
120,Nykaa So Creme! Creamy Matte Lipstick,299,239,47784,4,20
121,Maybelline New York Color Sensational Ultimattes Lipstick,549,357,1659,1,34
122,Kay Beauty Matte Drama Long Stay Lipstick,999,999,2625,1,0
123,Faces Canada Weightless Matte Finish Lipstick,299,254,28478,4,15
124,PAT McGRATH LABS Mattetrance,3800,3800,5,1,0
125,Swiss Beauty HD Matte Lipstick,299,224,4444,1,25
126,Maybelline New York Color Sensational Creamy Matte Lipstick,299,209,81862,4,30
127,Lakme Forever Matte Liquid Lip Color,295,251,40503,4,14
128,M.A.C Lipstick / Mini,1100,1100,19564,3,0
129,Faces Canada Ultime Pro Hd Intense Matte Lips + Primer,799,679,18731,3,15
130,SUGAR Cosmetics Matte Attack Transferproof Lipstick,699,629,6065,2,10
131,Love Earth Multipot Lip and Cheek Tint,599,299,3040,1,50
132,Nykaa Ultra Matte Mini Lipstick,239,239,11111,3,0
133,Maybelline New York Super Stay Crayon Lipstick,699,454,12210,3,35
134,Lakme Absolute Matte Ultimate Lip Color with Argan Oil,800,400,10687,2,50
135,Lakme 9 To 5 Primer + Matte Lipstick,500,425,7227,2,15
136,Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color,675,574,33555,4,14
137,Kay Beauty Matteinee Matte Lip Crayon Lipstick,799,599,13057,3,25
138,SUGAR Matte As Hell Crayon Lipstick With Free Sharpener,799,719,9509,2,10
139,Just Herbs Ayurvedic Matte Lipstick Micro-Mini Trial Kit,575,403,7966,2,29
140,Nykaa So Creme! Creamy Matte Lipstick,299,239,47784,4,20
141,Maybelline New York Color Sensational Ultimattes Lipstick,549,357,1659,1,34
142,Kay Beauty Matte Drama Long Stay Lipstick,999,999,2625,1,0
143,Faces Canada Weightless Matte Finish Lipstick,299,254,28478,4,15
144,PAT McGRATH LABS Mattetrance,3800,3800,5,1,0
145,Swiss Beauty HD Matte Lipstick,299,224,4444,1,25
146,Maybelline New York Color Sensational Creamy Matte Lipstick,299,209,81862,4,30
147,Lakme Forever Matte Liquid Lip Color,295,251,40503,4,14
148,M.A.C Lipstick / Mini,1100,1100,19564,3,0
149,Faces Canada Ultime Pro Hd Intense Matte Lips + Primer,799,679,18731,3,15
150,SUGAR Cosmetics Matte Attack Transferproof Lipstick,699,629,6065,2,10
151,Love Earth Multipot Lip and Cheek Tint,599,299,3040,1,50
152,Nykaa Ultra Matte Mini Lipstick,239,239,11111,3,0
153,Maybelline New York Super Stay Crayon Lipstick,699,454,12210,3,35
154,Lakme Absolute Matte Ultimate Lip Color with Argan Oil,800,400,10687,2,50
155,Lakme 9 To 5 Primer + Matte Lipstick,500,425,7227,2,15
156,Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color,675,574,33555,4,14
157,Kay Beauty Matteinee Matte Lip Crayon Lipstick,799,599,13057,3,25
158,SUGAR Matte As Hell Crayon Lipstick With Free Sharpener,799,719,9509,2,10
159,Just Herbs Ayurvedic Matte Lipstick Micro-Mini Trial Kit,575,403,7966,2,29
160,Nykaa So Creme! Creamy Matte Lipstick,299,239,47784,4,20
161,Maybelline New York Color Sensational Ultimattes Lipstick,549,357,1659,1,34
162,Kay Beauty Matte Drama Long Stay Lipstick,999,999,2625,1,0
163,Faces Canada Weightless Matte Finish Lipstick,299,254,28478,4,15
164,PAT McGRATH LABS Mattetrance,3800,3800,5,1,0
165,Swiss Beauty HD Matte Lipstick,299,224,4444,1,25
166,Maybelline New York Color Sensational Creamy Matte Lipstick,299,209,81862,4,30
167,Lakme Forever Matte Liquid Lip Color,295,251,40503,4,14
168,M.A.C Lipstick / Mini,1100,1100,19564,3,0
169,Faces Canada Ultime Pro Hd Intense Matte Lips + Primer,799,679,18731,3,15
170,SUGAR Cosmetics Matte Attack Transferproof Lipstick,699,629,6065,2,10
171,Love Earth Multipot Lip and Cheek Tint,599,299,3040,1,50
172,Nykaa Ultra Matte Mini Lipstick,239,239,11111,3,0
173,Maybelline New York Super Stay Crayon Lipstick,699,454,12210,3,35
174,Lakme Absolute Matte Ultimate Lip Color with Argan Oil,800,400,10687,2,50
175,Lakme 9 To 5 Primer + Matte Lipstick,500,425,7227,2,15
176,Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color,675,574,33555,4,14
177,Kay Beauty Matteinee Matte Lip Crayon Lipstick,799,599,13057,3,25
178,SUGAR Matte As Hell Crayon Lipstick With Free Sharpener,799,719,9509,2,10
179,Just Herbs Ayurvedic Matte Lipstick Micro-Mini Trial Kit,575,403,7966,2,29
180,Nykaa So Creme! Creamy Matte Lipstick,299,239,47784,4,20
181,Maybelline New York Color Sensational Ultimattes Lipstick,549,357,1659,1,34
182,Kay Beauty Matte Drama Long Stay Lipstick,999,999,2625,1,0
183,Faces Canada Weightless Matte Finish Lipstick,299,254,28478,4,15
184,PAT McGRATH LABS Mattetrance,3800,3800,5,1,0
185,Swiss Beauty HD Matte Lipstick,299,224,4444,1,25
186,Maybelline New York Color Sensational Creamy Matte Lipstick,299,209,81862,4,30
187,Lakme Forever Matte Liquid Lip Color,295,251,40503,4,14
188,M.A.C Lipstick / Mini,1100,1100,19564,3,0
189,Faces Canada Ultime Pro Hd Intense Matte Lips + Primer,799,679,18731,3,15
190,SUGAR Cosmetics Matte Attack Transferproof Lipstick,699,629,6065,2,10
191,Love Earth Multipot Lip and Cheek Tint,599,299,3040,1,50
192,Nykaa Ultra Matte Mini Lipstick,239,239,11111,3,0
193,Maybelline New York Super Stay Crayon Lipstick,699,454,12210,3,35
194,Lakme Absolute Matte Ultimate Lip Color with Argan Oil,800,400,10687,2,50
195,Lakme 9 To 5 Primer + Matte Lipstick,500,425,7227,2,15
196,Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color,675,574,33555,4,14
197,Kay Beauty Matteinee Matte Lip Crayon Lipstick,799,599,13057,3,25
198,SUGAR Matte As Hell Crayon Lipstick With Free Sharpener,799,719,9509,2,10
199,Just Herbs Ayurvedic Matte Lipstick Micro-Mini Trial Kit,575,403,7966,2,29
200,Nykaa So Creme! Creamy Matte Lipstick,299,239,47784,4,20
201,Maybelline New York Color Sensational Ultimattes Lipstick,549,357,1659,1,34
202,Kay Beauty Matte Drama Long Stay Lipstick,999,999,2625,1,0
203,Faces Canada Weightless Matte Finish Lipstick,299,254,28478,4,15
204,PAT McGRATH LABS Mattetrance,3800,3800,5,1,0
205,Swiss Beauty HD Matte Lipstick,299,224,4444,1,25
206,Maybelline New York Color Sensational Creamy Matte Lipstick,299,209,81862,4,30
207,Lakme Forever Matte Liquid Lip Color,295,251,40503,4,14
208,M.A.C Lipstick / Mini,1100,1100,19564,3,0
209,Faces Canada Ultime Pro Hd Intense Matte Lips + Primer,799,679,18731,3,15
210,SUGAR Cosmetics Matte Attack Transferproof Lipstick,699,629,6065,2,10
211,Love Earth Multipot Lip and Cheek Tint,599,299,3040,1,50
212,Nykaa Ultra Matte Mini Lipstick,239,239,11111,3,0
213,Maybelline New York Super Stay Crayon Lipstick,699,454,12210,3,35
214,Lakme Absolute Matte Ultimate Lip Color with Argan Oil,800,400,10687,2,50
215,Lakme 9 To 5 Primer + Matte Lipstick,500,425,7227,2,15
216,Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color,675,574,33555,4,14
217,Kay Beauty Matteinee Matte Lip Crayon Lipstick,799,599,13057,3,25
218,SUGAR Matte As Hell Crayon Lipstick With Free Sharpener,799,719,9509,2,10
219,Just Herbs Ayurvedic Matte Lipstick Micro-Mini Trial Kit,575,403,7966,2,29
220,Nykaa So Creme! Creamy Matte Lipstick,299,239,47784,4,20
221,Maybelline New York Color Sensational Ultimattes Lipstick,549,357,1659,1,34
222,Kay Beauty Matte Drama Long Stay Lipstick,999,999,2625,1,0
223,Faces Canada Weightless Matte Finish Lipstick,299,254,28478,4,15
224,PAT McGRATH LABS Mattetrance,3800,3800,5,1,0
225,Swiss Beauty HD Matte Lipstick,299,224,4444,1,25
226,Maybelline New York Color Sensational Creamy Matte Lipstick,299,209,81862,4,30
227,Lakme Forever Matte Liquid Lip Color,295,251,40503,4,14
228,M.A.C Lipstick / Mini,1100,1100,19564,3,0
229,Faces Canada Ultime Pro Hd Intense Matte Lips + Primer,799,679,18731,3,15
230,SUGAR Cosmetics Matte Attack Transferproof Lipstick,699,629,6065,2,10
231,Love Earth Multipot Lip and Cheek Tint,599,299,3040,1,50
232,Nykaa Ultra Matte Mini Lipstick,239,239,11111,3,0
233,Maybelline New York Super Stay Crayon Lipstick,699,454,12210,3,35
234,Lakme Absolute Matte Ultimate Lip Color with Argan Oil,800,400,10687,2,50
235,Lakme 9 To 5 Primer + Matte Lipstick,500,425,7227,2,15
236,Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color,675,574,33555,4,14
237,Kay Beauty Matteinee Matte Lip Crayon Lipstick,799,599,13057,3,25
238,SUGAR Matte As Hell Crayon Lipstick With Free Sharpener,799,719,9509,2,10
239,Just Herbs Ayurvedic Matte Lipstick Micro-Mini Trial Kit,575,403,7966,2,29
240,Nykaa So Creme! Creamy Matte Lipstick,299,239,47784,4,20
241,Maybelline New York Color Sensational Ultimattes Lipstick,549,357,1659,1,34
242,Kay Beauty Matte Drama Long Stay Lipstick,999,999,2625,1,0
243,Faces Canada Weightless Matte Finish Lipstick,299,254,28478,4,15
244,PAT McGRATH LABS Mattetrance,3800,3800,5,1,0
245,Swiss Beauty HD Matte Lipstick,299,224,4444,1,25
246,Maybelline New York Color Sensational Creamy Matte Lipstick,299,209,81862,4,30
247,Lakme Forever Matte Liquid Lip Color,295,251,40503,4,14
248,M.A.C Lipstick / Mini,1100,1100,19564,3,0
249,Faces Canada Ultime Pro Hd Intense Matte Lips + Primer,799,679,18731,3,15
250,SUGAR Cosmetics Matte Attack Transferproof Lipstick,699,629,6065,2,10
251,Love Earth Multipot Lip and Cheek Tint,599,299,3040,1,50
252,Nykaa Ultra Matte Mini Lipstick,239,239,11111,3,0
253,Maybelline New York Super Stay Crayon Lipstick,699,454,12210,3,35
254,Lakme Absolute Matte Ultimate Lip Color with Argan Oil,800,400,10687,2,50
255,Lakme 9 To 5 Primer + Matte Lipstick,500,425,7227,2,15
256,Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color,675,574,33555,4,14
257,Kay Beauty Matteinee Matte Lip Crayon Lipstick,799,599,13057,3,25
258,SUGAR Matte As Hell Crayon Lipstick With Free Sharpener,799,719,9509,2,10
259,Just Herbs Ayurvedic Matte Lipstick Micro-Mini Trial Kit,575,403,7966,2,29
260,Nykaa So Creme! Creamy Matte Lipstick,299,239,47784,4,20
261,Maybelline New York Color Sensational Ultimattes Lipstick,549,357,1659,1,34
262,Kay Beauty Matte Drama Long Stay Lipstick,999,999,2625,1,0
263,Faces Canada Weightless Matte Finish Lipstick,299,254,28478,4,15
264,PAT McGRATH LABS Mattetrance,3800,3800,5,1,0
265,Swiss Beauty HD Matte Lipstick,299,224,4444,1,25
266,Maybelline New York Color Sensational Creamy Matte Lipstick,299,209,81862,4,30
267,Lakme Forever Matte Liquid Lip Color,295,251,40503,4,14
268,M.A.C Lipstick / Mini,1100,1100,19564,3,0
269,Faces Canada Ultime Pro Hd Intense Matte Lips + Primer,799,679,18731,3,15
270,SUGAR Cosmetics Matte Attack Transferproof Lipstick,699,629,6065,2,10
271,Love Earth Multipot Lip and Cheek Tint,599,299,3040,1,50
272,Nykaa Ultra Matte Mini Lipstick,239,239,11111,3,0
273,Maybelline New York Super Stay Crayon Lipstick,699,454,12210,3,35
274,Lakme Absolute Matte Ultimate Lip Color with Argan Oil,800,400,10687,2,50
275,Lakme 9 To 5 Primer + Matte Lipstick,500,425,7227,2,15
276,Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color,675,574,33555,4,14
277,Kay Beauty Matteinee Matte Lip Crayon Lipstick,799,599,13057,3,25
278,SUGAR Matte As Hell Crayon Lipstick With Free Sharpener,799,719,9509,2,10
279,Just Herbs Ayurvedic Matte Lipstick Micro-Mini Trial Kit,575,403,7966,2,29
280,Nykaa So Creme! Creamy Matte Lipstick,299,239,47784,4,20
281,Maybelline New York Color Sensational Ultimattes Lipstick,549,357,1659,1,34
282,Kay Beauty Matte Drama Long Stay Lipstick,999,999,2625,1,0
283,Faces Canada Weightless Matte Finish Lipstick,299,254,28478,4,15
284,PAT McGRATH LABS Mattetrance,3800,3800,5,1,0
285,Swiss Beauty HD Matte Lipstick,299,224,4444,1,25
286,Maybelline New York Color Sensational Creamy Matte Lipstick,299,209,81862,4,30
287,Lakme Forever Matte Liquid Lip Color,295,251,40503,4,14
288,M.A.C Lipstick / Mini,1100,1100,19564,3,0
289,Faces Canada Ultime Pro Hd Intense Matte Lips + Primer,799,679,18731,3,15
290,SUGAR Cosmetics Matte Attack Transferproof Lipstick,699,629,6065,2,10
291,Love Earth Multipot Lip and Cheek Tint,599,299,3040,1,50
292,Nykaa Ultra Matte Mini Lipstick,239,239,11111,3,0
293,Maybelline New York Super Stay Crayon Lipstick,699,454,12210,3,35
294,Lakme Absolute Matte Ultimate Lip Color with Argan Oil,800,400,10687,2,50
295,Lakme 9 To 5 Primer + Matte Lipstick,500,425,7227,2,15
296,Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color,675,574,33555,4,14
297,Kay Beauty Matteinee Matte Lip Crayon Lipstick,799,599,13057,3,25
298,SUGAR Matte As Hell Crayon Lipstick With Free Sharpener,799,719,9509,2,10
299,Just Herbs Ayurvedic Matte Lipstick Micro-Mini Trial Kit,575,403,7966,2,29
300,Nykaa So Creme! Creamy Matte Lipstick,299,239,47784,4,20
301,Maybelline New York Color Sensational Ultimattes Lipstick,549,357,1659,1,34
302,Kay Beauty Matte Drama Long Stay Lipstick,999,999,2625,1,0
303,Faces Canada Weightless Matte Finish Lipstick,299,254,28478,4,15
304,PAT McGRATH LABS Mattetrance,3800,3800,5,1,0
305,Swiss Beauty HD Matte Lipstick,299,224,4444,1,25
306,Maybelline New York Color Sensational Creamy Matte Lipstick,299,209,81862,4,30
307,Lakme Forever Matte Liquid Lip Color,295,251,40503,4,14
308,M.A.C Lipstick / Mini,1100,1100,19564,3,0
309,Faces Canada Ultime Pro Hd Intense Matte Lips + Primer,799,679,18731,3,15
310,SUGAR Cosmetics Matte Attack Transferproof Lipstick,699,629,6065,2,10
311,Love Earth Multipot Lip and Cheek Tint,599,299,3040,1,50
312,Nykaa Ultra Matte Mini Lipstick,239,239,11111,3,0
313,Maybelline New York Super Stay Crayon Lipstick,699,454,12210,3,35
314,Lakme Absolute Matte Ultimate Lip Color with Argan Oil,800,400,10687,2,50
315,Lakme 9 To 5 Primer + Matte Lipstick,500,425,7227,2,15
316,Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color,675,574,33555,4,14
317,Kay Beauty Matteinee Matte Lip Crayon Lipstick,799,599,13057,3,25
318,SUGAR Matte As Hell Crayon Lipstick With Free Sharpener,799,719,9509,2,10
319,Just Herbs Ayurvedic Matte Lipstick Micro-Mini Trial Kit,575,403,7966,2,29
320,Nykaa So Creme! Creamy Matte Lipstick,299,239,47784,4,20
321,Maybelline New York Color Sensational Ultimattes Lipstick,549,357,1659,1,34
322,Kay Beauty Matte Drama Long Stay Lipstick,999,999,2625,1,0
323,Faces Canada Weightless Matte Finish Lipstick,299,254,28478,4,15
324,PAT McGRATH LABS Mattetrance,3800,3800,5,1,0
325,Swiss Beauty HD Matte Lipstick,299,224,4444,1,25
326,Maybelline New York Color Sensational Creamy Matte Lipstick,299,209,81862,4,30
327,Lakme Forever Matte Liquid Lip Color,295,251,40503,4,14
328,M.A.C Lipstick / Mini,1100,1100,19564,3,0
329,Faces Canada Ultime Pro Hd Intense Matte Lips + Primer,799,679,18731,3,15
330,SUGAR Cosmetics Matte Attack Transferproof Lipstick,699,629,6065,2,10
331,Love Earth Multipot Lip and Cheek Tint,599,299,3040,1,50
332,Nykaa Ultra Matte Mini Lipstick,239,239,11111,3,0
333,Maybelline New York Super Stay Crayon Lipstick,699,454,12210,3,35
334,Lakme Absolute Matte Ultimate Lip Color with Argan Oil,800,400,10687,2,50
335,Lakme 9 To 5 Primer + Matte Lipstick,500,425,7227,2,15
336,Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color,675,574,33555,4,14
337,Kay Beauty Matteinee Matte Lip Crayon Lipstick,799,599,13057,3,25
338,SUGAR Matte As Hell Crayon Lipstick With Free Sharpener,799,719,9509,2,10
339,Just Herbs Ayurvedic Matte Lipstick Micro-Mini Trial Kit,575,403,7966,2,29
340,Nykaa So Creme! Creamy Matte Lipstick,299,239,47784,4,20
341,Maybelline New York Color Sensational Ultimattes Lipstick,549,357,1659,1,34
342,Kay Beauty Matte Drama Long Stay Lipstick,999,999,2625,1,0
343,Faces Canada Weightless Matte Finish Lipstick,299,254,28478,4,15
344,PAT McGRATH LABS Mattetrance,3800,3800,5,1,0
345,Swiss Beauty HD Matte Lipstick,299,224,4444,1,25
346,Maybelline New York Color Sensational Creamy Matte Lipstick,299,209,81862,4,30
347,Lakme Forever Matte Liquid Lip Color,295,251,40503,4,14
348,M.A.C Lipstick / Mini,1100,1100,19564,3,0
349,Faces Canada Ultime Pro Hd Intense Matte Lips + Primer,799,679,18731,3,15
350,SUGAR Cosmetics Matte Attack Transferproof Lipstick,699,629,6065,2,10
351,Love Earth Multipot Lip and Cheek Tint,599,299,3040,1,50
352,Nykaa Ultra Matte Mini Lipstick,239,239,11111,3,0
353,Maybelline New York Super Stay Crayon Lipstick,699,454,12210,3,35
354,Lakme Absolute Matte Ultimate Lip Color with Argan Oil,800,400,10687,2,50
355,Lakme 9 To 5 Primer + Matte Lipstick,500,425,7227,2,15
356,Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color,675,574,33555,4,14
357,Kay Beauty Matteinee Matte Lip Crayon Lipstick,799,599,13057,3,25
358,SUGAR Matte As Hell Crayon Lipstick With Free Sharpener,799,719,9509,2,10
359,Just Herbs Ayurvedic Matte Lipstick Micro-Mini Trial Kit,575,403,7966,2,29
360,Nykaa So Creme! Creamy Matte Lipstick,299,239,47784,4,20
361,Maybelline New York Color Sensational Ultimattes Lipstick,549,357,1659,1,34
362,Kay Beauty Matte Drama Long Stay Lipstick,999,999,2625,1,0
363,Faces Canada Weightless Matte Finish Lipstick,299,254,28478,4,15
364,PAT McGRATH LABS Mattetrance,3800,3800,5,1,0
365,Swiss Beauty HD Matte Lipstick,299,224,4444,1,25
366,Maybelline New York Color Sensational Creamy Matte Lipstick,299,209,81862,4,30
367,Lakme Forever Matte Liquid Lip Color,295,251,40503,4,14
368,M.A.C Lipstick / Mini,1100,1100,19564,3,0
369,Faces Canada Ultime Pro Hd Intense Matte Lips + Primer,799,679,18731,3,15
