,Name,Original Price,Discounted Price,Ratings,Star Ratings,Discount %
2175,Lakme 9 To 5 Primer + Matte Lipstick,500,425,7227,2,15
2176,Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color,675,574,33555,4,14
2177,Kay Beauty Matteinee Matte Lip Crayon Lipstick,799,599,13057,3,25
2178,SUGAR Matte As Hell Crayon Lipstick With Free Sharpener,799,719,9509,2,10
2179,Just Herbs Ayurvedic Matte Lipstick Micro-Mini Trial Kit,575,403,7966,2,29
2180,Nykaa So Creme! Creamy Matte Lipstick,299,239,47784,4,20
2181,Maybelline New York Color Sensational Ultimattes Lipstick,549,357,1659,1,34
2182,Kay Beauty Matte Drama Long Stay Lipstick,999,999,2625,1,0
2183,Faces Canada Weightless Matte Finish Lipstick,299,254,28478,4,15
2184,PAT McGRATH LABS Mattetrance,3800,3800,5,1,0
2185,Swiss Beauty HD Matte Lipstick,299,224,4444,1,25
2186,Maybelline New York Color Sensational Creamy Matte Lipstick,299,209,81862,4,30
2187,Lakme Forever Matte Liquid Lip Color,295,251,40503,4,14
2188,M.A.C Lipstick / Mini,1100,1100,19564,3,0
2189,Faces Canada Ultime Pro Hd Intense Matte Lips + Primer,799,679,18731,3,15
2190,SUGAR Cosmetics Matte Attack Transferproof Lipstick,699,629,6065,2,10
2191,Love Earth Multipot Lip and Cheek Tint,599,299,3040,1,50
2192,Nykaa Ultra Matte Mini Lipstick,239,239,11111,3,0
2193,Maybelline New York Super Stay Crayon Lipstick,699,454,12210,3,35
2194,Lakme Absolute Matte Ultimate Lip Color with Argan Oil,800,400,10687,2,50
2195,Lakme 9 To 5 Primer + Matte Lipstick,500,425,7227,2,15
2196,Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color,675,574,33555,4,14
2197,Kay Beauty Matteinee Matte Lip Crayon Lipstick,799,599,13057,3,25
2198,SUGAR Matte As Hell Crayon Lipstick With Free Sharpener,799,719,9509,2,10
2199,Just Herbs Ayurvedic Matte Lipstick Micro-Mini Trial Kit,575,403,7966,2,29
2200,Nykaa So Creme! Creamy Matte Lipstick,299,239,47784,4,20
2201,Maybelline New York Color Sensational Ultimattes Lipstick,549,357,1659,1,34
2202,Kay Beauty Matte Drama Long Stay Lipstick,999,999,2625,1,0
2203,Faces Canada Weightless Matte Finish Lipstick,299,254,28478,4,15
2204,PAT McGRATH LABS Mattetrance,3800,3800,5,1,0
2205,Swiss Beauty HD Matte Lipstick,299,224,4444,1,25
2206,Maybelline New York Color Sensational Creamy Matte Lipstick,299,209,81862,4,30
2207,Lakme Forever Matte Liquid Lip Color,295,251,40503,4,14
2208,M.A.C Lipstick / Mini,1100,1100,19564,3,0
2209,Faces Canada Ultime Pro Hd Intense Matte Lips + Primer,799,679,18731,3,15
2210,SUGAR Cosmetics Matte Attack Transferproof Lipstick,699,629,6065,2,10
2211,Love Earth Multipot Lip and Cheek Tint,599,299,3040,1,50
2212,Nykaa Ultra Matte Mini Lipstick,239,239,11111,3,0
2213,Maybelline New York Super Stay Crayon Lipstick,699,454,12210,3,35
2214,Lakme Absolute Matte Ultimate Lip Color with Argan Oil,800,400,10687,2,50
2215,Lakme 9 To 5 Primer + Matte Lipstick,500,425,7227,2,15
2216,Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color,675,574,33555,4,14
2217,Kay Beauty Matteinee Matte Lip Crayon Lipstick,799,599,13057,3,25
2218,SUGAR Matte As Hell Crayon Lipstick With Free Sharpener,799,719,9509,2,10
2219,Just Herbs Ayurvedic Matte Lipstick Micro-Mini Trial Kit,575,403,7966,2,29
2220,Nykaa So Creme! Creamy Matte Lipstick,299,239,47784,4,20
2221,Maybelline New York Color Sensational Ultimattes Lipstick,549,357,1659,1,34
2222,Kay Beauty Matte Drama Long Stay Lipstick,999,999,2625,1,0
2223,Faces Canada Weightless Matte Finish Lipstick,299,254,28478,4,15
2224,PAT McGRATH LABS Mattetrance,3800,3800,5,1,0
2225,Swiss Beauty HD Matte Lipstick,299,224,4444,1,25
2226,Maybelline New York Color Sensational Creamy Matte Lipstick,299,209,81862,4,30
2227,Lakme Forever Matte Liquid Lip Color,295,251,40503,4,14
2228,M.A.C Lipstick / Mini,1100,1100,19564,3,0
2229,Faces Canada Ultime Pro Hd Intense Matte Lips + Primer,799,679,18731,3,15
2230,SUGAR Cosmetics Matte Attack Transferproof Lipstick,699,629,6065,2,10
2231,Love Earth Multipot Lip and Cheek Tint,599,299,3040,1,50
2232,Nykaa Ultra Matte Mini Lipstick,239,239,11111,3,0
2233,Maybelline New York Super Stay Crayon Lipstick,699,454,12210,3,35
2234,Lakme Absolute Matte Ultimate Lip Color with Argan Oil,800,400,10687,2,50
2235,Lakme 9 To 5 Primer + Matte Lipstick,500,425,7227,2,15
2236,Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color,675,574,33555,4,14
2237,Kay Beauty Matteinee Matte Lip Crayon Lipstick,799,599,13057,3,25
2238,SUGAR Matte As Hell Crayon Lipstick With Free Sharpener,799,719,9509,2,10
2239,Just Herbs Ayurvedic Matte Lipstick Micro-Mini Trial Kit,575,403,7966,2,29
2240,Nykaa So Creme! Creamy Matte Lipstick,299,239,47784,4,20
2241,Maybelline New York Color Sensational Ultimattes Lipstick,549,357,1659,1,34
2242,Kay Beauty Matte Drama Long Stay Lipstick,999,999,2625,1,0
2243,Faces Canada Weightless Matte Finish Lipstick,299,254,28478,4,15
2244,PAT McGRATH LABS Mattetrance,3800,3800,5,1,0
2245,Swiss Beauty HD Matte Lipstick,299,224,4444,1,25
2246,Maybelline New York Color Sensational Creamy Matte Lipstick,299,209,81862,4,30
2247,Lakme Forever Matte Liquid Lip Color,295,251,40503,4,14
2248,M.A.C Lipstick / Mini,1100,1100,19564,3,0
2249,Faces Canada Ultime Pro Hd Intense Matte Lips + Primer,799,679,18731,3,15
2250,SUGAR Cosmetics Matte Attack Transferproof Lipstick,699,629,6065,2,10
2251,Love Earth Multipot Lip and Cheek Tint,599,299,3040,1,50
2252,Nykaa Ultra Matte Mini Lipstick,239,239,11111,3,0
2253,Maybelline New York Super Stay Crayon Lipstick,699,454,12210,3,35
2254,Lakme Absolute Matte Ultimate Lip Color with Argan Oil,800,400,10687,2,50
2255,Lakme 9 To 5 Primer + Matte Lipstick,500,425,7227,2,15
